,full_name,brand,capacity,cycle,size,energy_usage,blanket,wifi,load_sensor,delay,control_panel,vapor,anti_alergy,baby_p,sensitive_p,child_lock,price,image
0,Bosch WGA142X1TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4789.0, https://cdn.akakce.com/bosch/bosch-wga142x1tr-1200-devir-9-kg-z.jpg
1,Bosch WAU24T90TR 9,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,YOK,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4400.0, https://cdn.akakce.com/bosch/bosch-wau24t90tr-9-kg-1200-devir-z.jpg
2,Samsung WW4000T WW90T4020CE/AH,Samsung,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,YOK,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,4249.0, https://cdn.akakce.com/samsung/samsung-ww4000t-ww90t4020ce-ah-1200-devir-9-kg-z.jpg
3,Bosch WGA252X0TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5359.0, https://cdn.akakce.com/bosch/bosch-wga252x0tr-a-1200-devir-10-kg-z.jpg
4,Arçelik 10120 M,Arçelik,Orta Kapasite,Orta Devir,YOK,YOK,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,4536.99, https://cdn.akakce.com/arcelik/arcelik-10120-m-1200-devir-10-kg-z.jpg
5,Vestel CMI 97202,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3719.07, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F116%2F600%2F110000064637180%2Ejpg
6,Arçelik 9100 M,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,VAR,VAR,YOK,VAR,VAR,3937.89, https://cdn.akakce.com/arcelik/arcelik-9100-m-1000-devir-9-kg-z.jpg
7,LG F4R3VYW3WE 9,LG,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemsiz,VAR,YOK,YOK,YOK,VAR,YOK,YOK,VAR,YOK,YOK,4549.0, https://cdn.akakce.com/z/lg/lg-f4r3vyw3we-9-kg-1400-devir.jpg
8,Samsung WW6000T WW10T604DLE1AH,Samsung,Yüksek Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,5393.07, https://cdn.akakce.com/samsung/samsung-ww6000t-ww10t604dle1ah-wi-fi-10-5-kg-1400-devir-z.jpg
9,Arçelik 9120 M,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,VAR,VAR,VAR,4137.98, https://cdn.akakce.com/arcelik/arcelik-9120-m-9-kg-1200-devir-z.jpg
10,Hoover HDQ 4119AMBS/1-S,Hoover,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5099.18, https://iis-akakce.akamaized.net/p.z?%2F%2Fimg%2Epttavm%2Ecom%2Fpimages%2F592%2F124%2F733%2F615c581e0eadf%2Ejpg%3Fv%3D201910111519
11,Bosch WGA254X0TR 1400,Bosch,Orta Kapasite,Yüksek Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5599.0, https://cdn.akakce.com/bosch/bosch-wga254x0tr-a-1400-devir-10-kg-z.jpg
12,Siemens WG52A2X0TR 1200,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,VAR,VAR,VAR,5538.05, https://cdn.akakce.com/siemens/siemens-wg52a2x0tr-a-1200-devir-10-kg-z.jpg
13,Arçelik 7100 M,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,3218.95, https://cdn.akakce.com/arcelik/arcelik-7100-m-7-kg-1000-devir-z.jpg
14,Vestel CMI 76201,Vestel,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,2650.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fn11scdn%2Eakamaized%2Enet%2Fa1%2F1024%2Felektronik%2Fcamasir%2Dmakinesi%2Fvestel%2Dcmi%2D76201%2D1000%2Ddevir%2D7%2Dkg%2Dcamasir%2Dmakinesi%5F%5F0543177017094812%2Ejpg
15,Altus AL 10123,Altus,Orta Kapasite,Orta Devir,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,3478.2, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F75%2F600%2F110000016784156%2Ejpg
16,Bosch WGA141X0TR 1000,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,VAR,4540.0, https://cdn.akakce.com/bosch/bosch-wga141x0tr-a-1000-devir-9-kg-z.jpg
17,Bosch WGA142X0TR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,6696.0, https://cdn.akakce.com/bosch/bosch-wga142x0tr-a-1200-devir-9-kg-z.jpg
18,Siemens WG42A1X1TR 1200,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,VAR,4887.83, https://cdn.akakce.com/siemens/siemens-wg42a1x1tr-a-1200-devir-9-kg-z.jpg
19,Profilo CGA242X1TR 9,Profilo,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,YOK,YOK,3949.0, https://cdn.akakce.com/profilo/profilo-cga242x1tr-9-kg-1200-devir-z.jpg
20,Electrolux EW6F3146EB PerfectCare,Electrolux,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,4690.0, https://cdn.akakce.com/electrolux/electrolux-ew6f3146eb-perfectcare-a-1400-devir-10-kg-z.jpg
21,Beko CM 10120,Beko,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,VAR,VAR,VAR,VAR,VAR,VAR,YOK,4999.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst1%2Emyideasoft%2Ecom%2Fidea%2Fho%2F77%2Fmyassets%2Fproducts%2F502%2Fbeko%2Dcm%2D10120%2Da%2Dcamasir%2Dmakinesi%2D1%2Ejpg%3Frevision%3D1614594345
22,Profilo CGA141X1TR 1000,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,YOK,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3913.44, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F72%2F600%2F110000013361342%2Ejpg
23,Bosch WGA141X1TR 1000,Bosch,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,YOK,VAR,VAR,4598.0, https://cdn.akakce.com/bosch/bosch-wga141x1tr-1000-devir-9-kg-z.jpg
24,Arçelik 10120 MA,Arçelik,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,5104.99, https://cdn.akakce.com/arcelik/arcelik-10120-ma-1200-devir-10-kg-z.jpg
25,Siemens WM12UT90TR 9,Siemens,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,VAR,4335.0, https://cdn.akakce.com/siemens/siemens-wm12ut90tr-9-kg-1200-devir-z.jpg
26,Bosch WGA252XVTR 1200,Bosch,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,5750.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fst2%2Emyideasoft%2Ecom%2Fidea%2Fdr%2F49%2Fmyassets%2Fproducts%2F483%2Fbosch%2Dwga252xvtr%2D10%2Dkg%2D1200%2Ddevir%2Da%2Dcamasir%2Dmakinesi%2D40041%2Ejpg%3Frevision%3D1614685733
27,Vestel KCMI 98142,Vestel,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,VAR,VAR,YOK,VAR,YOK,YOK,VAR,YOK,YOK,VAR,5399.0, https://cdn.akakce.com/vestel/vestel-kcmi-98142-g-wifi-1400-devir-9-kg-6-kg-kurutmali-z.jpg
28,Profilo CMU12T90TR 1200,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,YOK,YOK,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4161.0, https://cdn.akakce.com/profilo/profilo-cmu12t90tr-1200-devir-9-kg-z.jpg
29,LG F4V5RGP2T A,LG,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,8999.0, https://cdn.akakce.com/lg/lg-f4v5rgp2t-a-wi-fi-1400-devir-10-5-kg-7-kg-kurutmali-z.jpg
30,LG F4V5RGP0W A,LG,Yüksek Kapasite,Yüksek Devir,YOK,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,7898.0, https://cdn.akakce.com/lg/lg-f4v5rgp0w-a-wi-fi-1400-devir-10-5-kg-7-kg-kurutmali-z.jpg
31,LG F4V5RYP0W Wi-Fi,LG,Yüksek Kapasite,Yüksek Devir,YOK,Az Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,7299.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fpicscdn%2Eredblue%2Ede%2Fdoi%2FASSET%5FMMS%5F75627177%2Ffee%5F786%5F587%5Fpng
32,Profilo CGA252X0TR 1200,Profilo,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,4498.05, https://cdn.akakce.com/profilo/profilo-cga252x0tr-a-1200-devir-10-kg-z.jpg
33,Grundig GWM 27101,Grundig,Orta Kapasite,Orta Devir,YOK,Önemsiz,VAR,VAR,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,2597.1, https://cdn.akakce.com/grundig/grundig-gwm-27101-wi-fi-1000-devir-7-kg-z.jpg
34,Electrolux EW6F4923EB PerfectCare,Electrolux,Orta Kapasite,Orta Devir,YOK,Önemsiz,VAR,YOK,VAR,VAR,VAR,VAR,VAR,YOK,VAR,VAR,3998.01, https://cdn.akakce.com/electrolux/electrolux-ew6f4923eb-perfectcare-600-a-1200-devir-9-kg-z.jpg
35,Vestel CMI 108222,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,4202.67, https://cdn.akakce.com/z/vestel/vestel-cmi-108222-wifi-1200-devir-10-kg.jpg
36,Arçelik 9100 PM,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,YOK,YOK,VAR,YOK,VAR,YOK,VAR,VAR,4825.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fwww%2Emarkacenter%2Ecom%2FUploads%2FUrunResimleri%2Farcelik%2D9100%2Dpm%2Dcamasir%2Dmakinesi%2D2%2D858b%2Epng
37,Beko CM 9101,Beko,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,VAR,VAR,VAR,3972.89, https://iis-akakce.akamaized.net/p.z?%2F%2Fst1%2Emyideasoft%2Ecom%2Fidea%2Fhi%2F25%2Fmyassets%2Fproducts%2F409%2F5%2Epng%3Frevision%3D1620830200
38,Electrolux EW8W2168LW PerfectCare,Electrolux,Orta Kapasite,Yüksek Devir,YOK,Önemli,YOK,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,8899.0, https://cdn.akakce.com/electrolux/electrolux-ew8w2168lw-perfectcare-a-1600-devir-10-kg-6-kg-kurutmali-z.jpg
39,Windsor WS 2710,Windsor,Orta Kapasite,Orta Devir,YOK,Önemli,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,2789.0, https://cdn.akakce.com/windsor/windsor-ws-2710-a-1000-devir-7-kg-z.jpg
40,Vestel CMI 87202,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,3136.9, https://iis-akakce.akamaized.net/p.z?%2F%2Fn11scdn%2Eakamaized%2Enet%2Fa1%2F1024%2Felektronik%2Fcamasir%2Dmakinesi%2Fvestel%2Dcmi%2D87202%2Dwifi%2D1000%2Ddevir%2D8%2Dkg%2Dcamasir%2Dmakinesi%5F%5F0191387730759135%2Ejpg
41,Hoover HDPD 4149AMBC/1-S,Hoover,Yüksek Kapasite,Yüksek Devir,YOK,Az Önemli,YOK,VAR,YOK,YOK,VAR,VAR,VAR,YOK,VAR,VAR,5819.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fimg%2Epttavm%2Ecom%2Fpimages%2F592%2F124%2F731%2F615c57da007df%2Ejpg%3Fv%3D201910111519
42,Samsung WD6500T WD10T654DBE1AH,Samsung,Yüksek Kapasite,Yüksek Devir,Standart Boyut,Önemsiz,YOK,VAR,YOK,VAR,VAR,VAR,VAR,YOK,YOK,VAR,8018.2, https://cdn.akakce.com/samsung/samsung-wd6500t-wd10t654dbe1ah-air-wash-1400-devir-10-5-kg-6-kg-kurutmali-z.jpg
43,Samsung WW6000T WW10T604DLN1AH,Samsung,Yüksek Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,VAR,YOK,VAR,VAR,VAR,YOK,VAR,VAR,VAR,5828.0, https://cdn.akakce.com/samsung/samsung-ww6000t-ww10t604dln1ah-10-5-kg-1400-devir-z.jpg
44,Windsor WS 2912,Windsor,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,YOK,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,2928.57, https://cdn.akakce.com/windsor/windsor-ws-2912-w-a-1200-devir-9-kg-z.jpg
45,LG F4V5RYP2T Wi-Fi,LG,Yüksek Kapasite,Yüksek Devir,YOK,Az Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,7439.07, https://cdn.akakce.com/lg/lg-f4v5ryp2t-wi-fi-a-1400-devir-10-5-kg-z.jpg
46,Altus AL 9103,Altus,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,3334.99, https://cdn.akakce.com/altus/altus-al-9103-db-1000-devir-9-kg-z.jpg
47,Samsung WW4000T WW80T4020CE/AH,Samsung,Orta Kapasite,Orta Devir,Standart Boyut,Önemsiz,YOK,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,VAR,3890.68, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F142%2F600%2F110000095069479%2Ejpg
48,Samsung WW5000T WW90TA046AH/AH,Samsung,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,YOK,YOK,YOK,VAR,VAR,YOK,YOK,VAR,VAR,4399.0, https://cdn.akakce.com/samsung/samsung-ww5000t-ww90ta046ah-ah-1400-devir-9-kg-z.jpg
49,Bosch WGA142XSTR 1200,Bosch,Orta Kapasite,Orta Devir,YOK,YOK,VAR,YOK,VAR,VAR,VAR,YOK,YOK,YOK,VAR,VAR,5199.0, https://cdn.akakce.com/bosch/bosch-wga142xstr-1200-devir-9-kg-z.jpg
50,Samsung WD5000T WD80TA046BE1AH,Samsung,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemsiz,YOK,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,6999.0, https://cdn.akakce.com/samsung/samsung-wd5000t-wd80ta046be1ah-air-wash-1400-devir-8-kg-5-kg-kurutmali-z.jpg
51,Arçelik 9124 N,Arçelik,Orta Kapasite,Orta Devir,YOK,Önemli,VAR,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,6098.0, https://cdn.akakce.com/arcelik/arcelik-9124-n-mg-grion-1200-devir-9-kg-z.jpg
52,Grundig GWM 101414,Grundig,Orta Kapasite,Yüksek Devir,YOK,Az Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,3898.01, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F71%2F600%2F110000012630434%2Ejpg
53,Arçelik 8103 YD,Arçelik,Orta Kapasite,Orta Devir,YOK,Çok Önemli,VAR,YOK,YOK,VAR,VAR,VAR,VAR,YOK,VAR,VAR,4299.0, https://cdn.akakce.com/arcelik/arcelik-8103-yd-a-1000-devir-8-kg-z.jpg
54,Windsor WS 2810,Windsor,Orta Kapasite,Orta Devir,YOK,Önemli,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,2370.57, https://cdn.akakce.com/windsor/windsor-ws-2810-a-1000-devir-8-kg-z.jpg
55,LG F4R5VGW0W Wi-Fi,LG,Orta Kapasite,Yüksek Devir,YOK,Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,VAR,VAR,VAR,6199.0, https://cdn.akakce.com/lg/lg-f4r5vgw0w-wi-fi-1400-devir-9-kg-5-kg-kurutmali-z.jpg
56,Arçelik 7103 DY,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Çok Önemli,VAR,YOK,YOK,YOK,VAR,YOK,YOK,YOK,VAR,VAR,3299.0, https://cdn.akakce.com/arcelik/arcelik-7103-dy-a-1000-devir-7-kg-z.jpg
57,Vestel CMI 128222,Vestel,Yüksek Kapasite,Orta Devir,YOK,Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,4198.0, https://cdn.akakce.com/z/vestel/vestel-cmi-128222-wifi-12-kg-1200-devir.jpg
58,Arçelik 9100 PMG,Arçelik,Orta Kapasite,Orta Devir,Standart Boyut,Önemli,VAR,VAR,YOK,YOK,VAR,VAR,VAR,YOK,VAR,VAR,5119.0, https://cdn.akakce.com/arcelik/arcelik-9100-pmg-1000-devir-9-kg-z.jpg
59,Vestel CMI 87102,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,VAR,VAR,3068.7, https://cdn.akakce.com/vestel/vestel-cmi-87102-wifi-a-1000-devir-8-kg-z.jpg
60,Electrolux EW6F421BT Perfectcare,Electrolux,Orta Kapasite,Orta Devir,YOK,YOK,VAR,YOK,YOK,YOK,VAR,YOK,VAR,YOK,VAR,YOK,4199.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fcdn03%2Eciceksepeti%2Ecom%2Fcicek%2Fkcm56650852%2D1%2FM%2Felectrolux%2Dew6f421bt%2D10%2Dkg%2E%2D1200%2Ddevir%2Dcamasir%2Dmakinesi%2Dkcm56650852%2D1%2Dc03d72fcd5d04d9dbbc2d2d55475cc13%2Ejpg
61,Grundig GWM 81013,Grundig,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,VAR,VAR,YOK,VAR,YOK,3389.0, https://cdn.akakce.com/grundig/grundig-gwm-81013-s-wi-fi-1000-devir-8-kg-z.jpg
62,Siemens WG54A2X0TR 1400,Siemens,Orta Kapasite,Yüksek Devir,Standart Boyut,Az Önemli,VAR,YOK,YOK,VAR,VAR,YOK,VAR,VAR,VAR,VAR,5699.0, https://iis-akakce.akamaized.net/p.z?%2F%2Fwww%2Eveyisoglugrup%2Ecom%2Fsiemens%2Dwg54a2x0tr%2D1400%2Ddevir%2D10%2Dkg%2Dcamasir%2Dmakinesi%2Dp%2D5261%2Ejpg
63,Vestel CMI 97102,Vestel,Orta Kapasite,Orta Devir,Standart Boyut,Az Önemli,VAR,VAR,YOK,VAR,VAR,YOK,VAR,YOK,YOK,VAR,3399.0, https://cdn.akakce.com/vestel/vestel-cmi-97102-wifi-1000-devir-9-kg-z.jpg
64,Seg SCM 6M1000,Seg,Düşük Kapasite,Orta Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,YOK,YOK,YOK,YOK,YOK,YOK,2036.03, https://cdn.akakce.com/seg/seg-scm-6m1000-1000-devir-6-kg-z.jpg
65,Siemens WN54A2X0TR 1400,Siemens,Orta Kapasite,Yüksek Devir,Standart Boyut,Önemli,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,13750.0, https://cdn.akakce.com/siemens/siemens-wn54a2x0tr-1400-devir-10-kg-6-kg-kurutmali-z.jpg
66,Samsung WD5000T WD90TA046BE1AH,Samsung,Orta Kapasite,Yüksek Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,VAR,YOK,YOK,VAR,VAR,8045.43, https://cdn.akakce.com/samsung/samsung-wd5000t-wd90ta046be1ah-air-wash-1400-devir-9-kg-6-kg-kurutmali-z.jpg
67,Bosch WAU24S90TR 1200,Bosch,Orta Kapasite,Orta Devir,YOK,Az Önemli,VAR,YOK,VAR,YOK,VAR,YOK,YOK,YOK,VAR,YOK,5672.07, https://cdn.akakce.com/bosch/bosch-wau24s90tr-1200-devir-9-kg-z.jpg
68,Seg SCM 7L1000,Seg,Orta Kapasite,Orta Devir,YOK,Önemsiz,YOK,YOK,YOK,VAR,VAR,YOK,YOK,YOK,VAR,VAR,2230.03, https://iis-akakce.akamaized.net/p.z?%2F%2Fproductimages%2Ehepsiburada%2Enet%2Fs%2F111%2F600%2F110000057813613%2Ejpg
